companyName,companyAddress,companyIndustry,companyCountry,companyContacts,companyTel,companyPhone,companyFax,companyMail,userName
"SILESHI CONSULT","P.O.BOX 1405 ADDIS ABABA",办公文教,埃塞俄比亚,"Mr. DESTA SILESHI",,"00251 1 533658","00251 1 533658",silcon@telecom.net.et,silcon
"A.N.S GENERAL IMPORTER","P.O.BOX 181645,ADDIS ABABA",办公文教,埃塞俄比亚,"AMAN NESSERO",,"00251 1 751008/137041","00251 1 765288",IMPRESS@TELECOM.NET.ET,IMPRESS
"TQ Paper Ltd","Baldoyle, Dublin 13",办公文教,爱尔兰,"Mrs Teresa Quinlan",,"00353 1 8324744","00353 1 8325180",tqpaper@indigo.ie,tqpaper
"Stanley Office Equipment Ltd","Donore Road, Drogheda",办公文教,爱尔兰,"Mrs Anne Bobbett",,"00353 41 9838440","00353 41 9832076",soeltd@iol.ie,soeltd
"AM Dunne & Son Ltd","Ballsbridge, Dublin 4",办公文教,爱尔兰,"Mr. James Dunne",,"00353 1 6680675","00353 1 6609642",sales@amdunne.ie,sales
"Slevin Group","Sandyford, Dublin 18",办公文教,爱尔兰,"Mrs Mandy Stapleton",,"00353 1 2940666","00353 1 2943089",info@slevin-group.com,info
"Galway City Forms Ltd","Tuam Road, Galway",办公文教,爱尔兰,"Mr. Matt Lawless",,"00353 91 771577","00353 91 771812",gcform@eiocom.net,gcform
"GEORGE J. CRAMPTON & CO. LTD.","36-39, JAMES STREET,DUBLIN 8",办公文教,爱尔兰,"RONALD D. CRAMPTON",,"00353 1 453 8637","00353 1 4584796",sales@crampton.ie,sales
"MCCAUGHAN PAPER LTD.","8 Frankfort Avenue, Rathgar,Dublin 6",办公文教,爱尔兰,"KEVIN MCCAUGHAN",,"00353 1 4966277","00353 1 4960909",KEVIN@MCCAUGHANPAPER.IE,KEVIN
"Klee Paper","89 North Circular Road, Dublin 7",办公文教,爱尔兰,"Mrs Breda Keegan",,"00353 1 8383544","00353 1 8385943",sales@ecoland.com,sales
Uni-Form,"Artane, Dublin 5",办公文教,爱尔兰,"Mr. Nicholas O‘Donoghue",,"00353 1 8486833","00353 1 8486841",executiveprent@iol.ie,executiveprent
"Weber Ireland Ltd","60/61 Irish Street, Enniscorthy",办公文教,爱尔兰,,,"00353 54 33778","00353 54 33284",sales@weberireland.com,sales
"MCCAUGHAN PAPER LTD","8 FRANKFORT AVE.,RATHGAR,DUBLIN 6",办公文教,爱尔兰,"Mr. KEVIN MCCAUGHAN",,"00353 1 4966277","00353 1 4960909",INFO@MCCAUGHANPAPER.IE,INFO
"SP Dunne & Co Ltd","Opp Stillorgan Shpng Ctr, 3 Stillorgan Road",办公文教,爱尔兰,"Mr. Patrick Dunne",,"00353 1 2889398","00353 1 2887347",info@bluepoint.ie,info
"TEA KIRJASTUS AS","Liivalaia 28 Tallinn",办公文教,爱沙尼亚,"SILVA TOMINGAS",,"00372 6459206/6459207","00372 6459208",info@tea.ee,info
"MULTIPAKEND AS","Tuuliku tee 4c Tallinn",办公文教,爱沙尼亚,"BORIS TSERNJAK",,"00372 6562677","00372 6562666",multipak@anet.ee,multipak
"TRAK BALTI AS","Parnu mnt 160 Tallinn",办公文教,爱沙尼亚,"REIN NIILO",,"00372 6556355","00372 6556398",trakbalt@byroomix.ee,trakbalt
"Trading and Marketing Center Inh. Johann Schneidhofer","Bahnhofsplatz 325, A-2722 Winzendorf, Niederoesterreich, Nieder？sterreich, Austria",办公文教,奥地利,"Herr Johann Schneidhofer",,"0043 2638 53001","0043 2638 530018",wo.kopitsch@alumni.netway.at,wo.kopitsch
"Ipex HandelsGmbH","Wiedengasse 25, A-6840 Goetzis, Vorarlberg, Austria",办公文教,奥地利,"Herr Franz Karacsony",,"0043 5523 582580","0043 5523 582588",papexco@aon.com,papexco
"Zsolnay Paul Verlag GesmbH","Prinz Eugen Strasse 30, A-1040 Wien, Wien, Austria",办公文教,奥地利,"Herr Ing. Alfred Zoubek",,"0043 1 5057661","0043 1 505766110",INFO@ZSOLNAY.AT,INFO
"Edition Helbling VerlagsGmbH","Kaplanstrasse 9, A-6063 Rum bei Innsbruck, Tirol, Austria",办公文教,奥地利,"Frau Cekon",,"0043 512 2623330","0043 512 262333111",office@helbling.co.at,office
"Die Druckdenker GmbH","Maria Theresia Strasse 41, A-4600 Wels, Ober？sterreich, Austria",办公文教,奥地利,"Herr Ing. Walter Wagner",,"0043 7242 231100","0043 7242 231618",druckdenker@magnet.at,druckdenker
"Innverlag Innsbruck Driesslein & CO KG Verlag-Lehrmittelhaus","Rossaugasse 5, A-6020 Innsbruck, Tirol, Austria",办公文教,奥地利,"Herr Ing. Manfred Hagleitner",,"0043 512 345331","0043 512 341290",innverlag@tirol.com,innverlag
"Pisec R. Zellstoff GesmbH","Goettweihergasse 1, A-1010 Wien, Wien, Austria",办公文教,奥地利,"Herr Reiner Pischl",,"0043 1 5123847","0043 1 512384733/5139863",OFFICE@PISEC-ZELLSTAFF.AT,OFFICE
"IDEA BANK","BRUCKNER STR.27 A-4490 ST.FLORIAN",办公文教,奥地利,,,"0043 72 244130/6644650065","0043 72 244130",R.MERGELER@AON.AT,R.MERGELER
"TEXON Oestereich GmbH","zowgasse 12, A-1140 Wien, Wien, Austria",办公文教,奥地利,"Herr Gerhard Fleischer",,"0043 1 4196190","0043 1 419619040",hansdirnbeck@netway.at,hansdirnbeck
"Salzer‘s Matthaeus Soehne Papierfabrik GesmbH","Stattersdorfer Hauptstrasse 53, A-3101 St.Poelten, Nieder？sterreich, Austria",办公文教,奥地利,"Herr Dir. Peter Steigenberger",,"0043 2742 2900","0043 2742 290173",office@salzer.at,office
"Placzek Robert AG","Trattnerhof 1, A-1014 Wien, Wien, Austria",办公文教,奥地利,"Herr L. Lewkowicz",,"0043 1 5367704","0043 1 5359767",office@piu-printex.at,office
"Wortmann Schuhproduktionen GesmbH","Aufeldgasse 66, A-3400 Klosterneuburg, Niedersterreich, Austria",办公文教,奥地利,"Herr Paul Landrichter",,"0043 2243 285000","0043 2243 28500-22",whc@wthg.at,whc
"HARRIS PAPER PTY LTD","6 Northern Rd Heidelberg West VIC 3081",办公文教,澳大利亚,"SHANE STRICKLAND",,"0061 3 9457 5222","0061 3 9457 5032",HARRISPAPER@OZEMAIL.COM.AU,HARRISPAPER
"THAMES & HUDSON (AUSTRALIA) PTY LTD","11 Central Blvd Portside Business Park Fishermans Bend VIC 3207",办公文教,澳大利亚,"PETER SHAW",,"0061 3 9646 7788","0061 3 9646 8790",THAUST@THAUST.COM.AU,THAUST
"BOOK AGENCIES OF ADELAIDE PTY LTD","46 Glynburn Rd Hectorville SA 5073",办公文教,澳大利亚,EUGENE,,"0061 8 8337 4544","0061 8 8336 9020",BOOKSALES@BAA.COM.AU,BOOKSALES
"J WALCH & SONS PTY LTD","130 Macquarie St Hobart TAS 7000",办公文教,澳大利亚,"DONALD GEORGE CORNISH",,"0061 3 6211 0330","0061 3 6278 1076",WALCH@BIGPOND.COM.AU,WALCH
"SILA AUSTRALIA","37-39 WITTENBORG DRIVE CANNING VALE",办公文教,澳大利亚,MR.J.DAR,,"0061 8 94553133","0061 8 94553331/94553133",SILA@OPERA.IINET.NET.AU,SILA
"CONCEPT PARTNERS","37-39 Church St Camperdown NSW2050",办公文教,澳大利亚,"GRAHAM MCGINLEY",,"0061 2 9557 7488","0061 2 9550 2499",IDEAS@CONCEPTPARTNERS.COM,IDEAS
"FOUR COLOUR GRAPHICS PTY LTD","23-29 South St Rydalmere NSW 2116",办公文教,澳大利亚,"ROBERT ARTHUR HAMMERSLEY",,"0061 2 9638 1455","0061 2 9638 4174",FOURCOLOUR@SYD.COM.AU,FOURCOLOUR
"KEITH AINSWORTH PTY LTD","6/88 Batt St Penrith NSW 2750",办公文教,澳大利亚,"KEITH AINSWORTH",,"0061 2 4732 3411","0061 2 4721 8259",AINSBOOK@OZEMAIL.COM.AU,AINSBOOK
"MILLER GRAPHIC PTY LTD - AS T/F MILLER GRAPHIC CONTROLS UNIT TRUST","226 Alexandra Pde East Clifton Hill VIC 3068",办公文教,澳大利亚,"JAMES JOHN MILLER",,"0061 3 9481 2022","0061 3 9481 2039",SALES@MILLERGRAPHIC.COM.AU,SALES
"TREDEX PTY LTD","Suite 203 Peninsula Plaza 20 Bungan St Mona Vale NSW 2103",办公文教,澳大利亚,"GRAEME HOLLAND",,"0061 2 9997 3366","0061 2 9997 5395",GHOLLAND@TREDEX.COM.AU,GHOLLAND
"CCH AUSTRALIA LIMITED","Level 2 101 Waterloo Rd North Ryde NSW 2113",办公文教,澳大利亚,"MURRAY PRESS",,"0061 2 9857 1300","0061 2 9857 1600",SUPPORT@CCH.COM.AU,SUPPORT
HIPP.COM.AU,"92 ALBERT STREET EAST BRUNSWICK VICTORIA",办公文教,澳大利亚,"DAVID FARADAY",,"0061 3 93880261/411471809","0061 3 93882032",INFO@HIPP.COM.AU,INFO
澳门艺天广告公司,新口岸马六甲街国际商业中心第9座14楼A,办公文教,澳门,吴光培,,"00853 727883/6636465","00853 727833",ART_SKY@HOTMAIL.COM,ART_SKY
"FAIRWEAR SHOE MFY (MACAU)","RUA QUATRO DO BAIPRO,IAO HON NO.50 DEIF:IAO SENG ZANDAR",办公文教,澳门,"CHUNG CHAK PANG",,"00853 5636322","00853 591808",FAIRWEAR@MACOU.CTM.NET,FAIRWEAR
澳门宏大广告设计公司,三巴仔街8号6K,办公文教,澳门,何国,,"00853 563023/6620400",853,6620400@CTM-MOBILE.COM,6620400
"UPGRADE TECHNOLOGY (MACAU) CO.,LTD.","RUA DA PEQUIM,NO.174,EDF.CENTRO COMMERCIAL KONG FAT,10 ANDAR BLOCK C.",办公文教,澳门,"ALLEN C.H.NG",,"00853 700568/3323321312","00853 700540",UPGRADE@MACAU.CTM.NET,UPGRADE
"MUDA JAYA PRODUCTS CORPORATION LTD","P.O.BOX 2555,LAE",办公文教,巴布亚新几内亚,MR.WONG,,"00675 4727252","00675 4727262",KSW168@HOTMAIL.COM,KSW168
"GORDON & GOTCH LTD","P.O.BOX 107,BOROKO NCD",办公文教,巴布亚新几内亚,"ADRAIM WGRUBI",,"00675 3254855","00675 3250950",GGBNG@ONLINE.NET.PG,GGBNG
"NEW GUINEA FOOTWEAR LTD","P.O.BOX 6176,BOROKO NCD",办公文教,巴布亚新几内亚,"PHILIP HO",,"00675 3255278","00675 3253875",KEH@ONLINE.NET.PG,KEH
"BAHAMAS OFFICE SUPPLIES & SRVC","P.O. BOX N-3749,NASSAU",办公文教,巴哈马,"DALE G. THOMPSON",,"001 242 393 5656","001 242 393 5044",DALE@NETBAHAMAS.COM,DALE
"jiangsu holly corp","27 e huaihai road",办公文教,巴哈马,"ma guo zhong",,3757918,,mgz@public.hy.js.cn,mgz
"MOEED‘S INDUSTRIES(PVT)LTD.","69-C,INDUSTRIAL ESTATE,JAMRUD ROAD,PESHAWAR",办公文教,巴基斯坦,"MUHAMMAD ISHAQ",,"0092 91 812354/812356","0092 91 812371",MOEEDSIN@HOTMAIL.COM,MOEEDSIN
"BUSINESMEN SERVICES CORPORATION","501,ALFALAH COURT,1.1. CHUNDRICAR ROAD,KARACHI",办公文教,巴基斯坦,"Mr. NAYYAR KAZMI",,"0092 21 2637511","0092 21 2631168",NAYYARKAZMI@HOTMAIL.COM,NAYYARKAZMI
"CREST CORPORATION","19-MIAN CHAMBERS,SHAHRAH-E-LIAQUAT,KARACHI",办公文教,巴基斯坦,"SHAHNAWAZ MULTANI",,"0092 21 2421079/2443001","0092 21 2427255",CREST@DIGICOM.NET.PK,CREST
"I.H. PACKAGES","D3,ALLIANCE ARCADE FL 22,BLOCK-15,GULISTAN-E-JOHAR,KARACHI",办公文教,巴基斯坦,"SHAFQAT HUSSAIN",,"0092 21 8015195/8121807/3002150475/3009205658","0092 21 8121170",IHPACKAGES@YAHOO.COM,IHPACKAGES
"NAGINA (PLASTIC) TRADERS","NO.211,2ND FLOOR,NEW BOULTAN MARKET,KARACHI",办公文教,巴基斯坦,"M. HAROON YOUSUF",,"0092 21 2442553/3332135834/3205045333",92,NAGINATRADERS@CYBERACCESS.COM.PK,NAGINATRADERS
"K.U.F. STATIONERS","SHOP #26,YOUNUS MARKET MARRIOT ROAD,2/38,M.A.JINNAH ROAD,KARACHI",办公文教,巴基斯坦,"MUHAMMAD NAFEES KHAN",,"0092 21 2432301/2434514/3009248154","0092 21 2413111",FUZAILQ@CYBER.NET.PK,FUZAILQ
"KARACIII AUTO STORE","RAMZAN CHAMBER 91-BADAMI BAGLI LAHORE",办公文教,巴基斯坦,"MR.MOHAMMAD ASGHAR",,"0092 42 202534","0092 42 7703393",ASGHA2003@YAHOO.COM,ASGHA2003
"A.J‘S CORPORATION","#337 DELHI MERCANTILE SOCIETY NEAR D.M.S.BOYS SCHOOL STREET NO. 7 BLOCK 3 KARACHI-74800",办公文教,巴基斯坦,"MUHAMMAD ALI",,"0092 21 2629392","0092 21 4387950/2639172",SMART-CHOICE@CYBER.NET.PK,SMART-CHOICE
"DAULAT SONS","36/1 SAWAMI NARAIN BUILDING SHAHRAH-E-LIAQAT,KARACHI",办公文教,巴基斯坦,"SHAFQAT HUSSAIN",,"0092 21 2628735/2628742/3002104768","0092 21 2211878",DSBOARD@SUPER.NET.PK,DSBOARD
"DANISH ENTERPRISES","301-302-303,HOOR CENTRE,NORTH NAPIER ROAD,KARACHI",办公文教,巴基斯坦,"ABID IQBAL KAPADIA",,"0092 21 7774718/3037264522","0092 21 7774787","DANISH1@CYBER.NET.PK,ABID100@YAHOO.CO.UK",DANISH1
"RAH MOHAMMAD DIN MOHAMMAD TRADING COMPANY","TAJ ROAD,CHAMAN",办公文教,巴基斯坦,"RAH MOHAMMAD",,"0092 826 614374/3205932320","0092 826 612634",RAH_MOHD2003@YAHOO.COM,RAH_MOHD2003
"BRIGHT ENTERPRISES","2/38,2ND FLOOR ABID CHAMBERS(AL-YOUSUF CHAMBERS) SHAHRAH-E-LIAQUAT,NEW CHALLI,KARACHI",办公文教,巴基斯坦,"MUHAMMAD ANIS",,"0092 21 2621235/2621238/3037258342","0092 21 2216415",BRIGHTAGE@CYBER.NET.PK,BRIGHTAGE
"AL-AHLIA NATIONAL STATIONERY & OFFICE SUPPLY CO.LTD.","P.O.BOX:704 HEBRON",办公文教,巴勒斯坦,"BASEL MUJAHED",,"00972 2 2259680","00972 2 2259681",AHLIA@HEBRONET.COM,AHLIA
"AL-AHLIA NATIONAL STATIONERY & OFFICE SUPPLY CO.,LTD.","P.O.BOX 704 HEBRON",办公文教,巴勒斯坦,"BASEL MUJAHED",,"00972 2 2259680","00972 2 2259681",AHLIA@HEBRONET.COM,AHLIA
"SHRAP NET","GAZA STRIP",办公文教,巴勒斯坦,NAEM,,"00970 8 2051207","00970 8 2068468",NAEM63@MAKTOOLO.COM,NAEM63
"ENGLISH TRADING CO.",HEBRON,办公文教,巴勒斯坦,"JAWAD KARAKI",,"00972 2 2224852",970,PREFGWOM@HEBRON.NET,PREFGWOM
"ALHODY COMPANY","GAZA STRIP",办公文教,巴勒斯坦,NAIM,,"00970 8 2053848","00970 8 2067959",NAEM63@MAKTOOLO.COM,NAEM63
"M.ABD AL AZIZ",GAZA,办公文教,巴勒斯坦,MAHAMOND,,"00972 8 2863294","00972 8 2865297",AWADI@PALNET.COM,AWADI
"AWAD BROTH",GAZA,办公文教,巴勒斯坦,AHMED,,"00972 8 2821261","00972 8 2821281",AWADY@PALNET.COM,AWADY
AL-QUDS,"AL-RAM,RAMALLAH",办公文教,巴勒斯坦,"SALEH TALHAMI",,"00972 2 2340394/2343305","00972 2 2340394",AL-QUDS@JROL.COM,AL-QUDS
